file_name,timm_model_name,google_drive_id,version
PM_model_2.2.10_RG_NIR_509_regnety_004.pycls_in1k_PT_state.pth,regnety_004,1tGJh9nnrH-apjmV70AcK8VtXnbBtRb67,1
PM_model_2.2.10_RG_NIR_509_convnextv2_nano.fcmae_ft_in1k_PT_state.pth,convnextv2_nano,1QXQ_oPhLKEowC9fxlZGLOACt8gCNMbWP,1
PM_model_OCM_6.43_RG_NIR_regnety_004.pycls_in1k_PT_state.safetensors,regnety_004,1jArs4Eiicmh9XRZ7S1mFCFt4WnIv0DL5,2
PM_model_OCM_6.43_RG_NIR_edgenext_small.usi_in1k_PT_state.safetensors,edgenext_small,1Zo-RY64JeOH_FFxE8Z4Eu5Jq4KZ07mwn,2
